#,Date,Location,Photo file,Caption (Dylan to fill)
1,"May 23, 2025","Trader Joe's, The Forum — Peachtree Corners, GA",IMG_020877_thumbnail.JPG,
2,"June 29, 2025","Amicalola Falls, GA",IMG_021012_thumbnail.JPG,
3,"July 6, 2025","Painted Park, Atlanta BeltLine, GA",IMG_021044_thumbnail.JPG,
4,"August 3, 2025","Cobb County Parks (Al Bishop Dr), Marietta, GA",IMG_021187_thumbnail.JPG,
5,"August 3, 2025","Cobb County Parks (Al Bishop Dr), Marietta, GA",IMG_021185_thumbnail.JPG,
6,"August 3, 2025","Cobb County Parks (Al Bishop Dr), Marietta, GA",IMG_021188_thumbnail.JPG,
7,"August 17, 2025","Fourth Ward, Charlotte, NC",IMG_021281_thumbnail.JPG,
8,"August 17, 2025","Fourth Ward, Charlotte, NC",IMG_021279_thumbnail.JPG,
9,"August 17, 2025","Fourth Ward, Charlotte, NC",IMG_021286_thumbnail.JPG,
10,"October 18, 2025","Mercier Orchards, Blue Ridge, GA",IMG_021538_thumbnail.JPG,
11,"November 1, 2025","701 Highland Ave, Atlanta, GA",IMG_021630_thumbnail.JPG,
12,"December 6, 2025","Atlanta, GA",IMG_021740.jpg,
13,"December 6, 2025","Atlanta, GA",IMG_021734.jpg,
14,"December 6, 2025","Atlanta, GA",IMG_021739.jpg,
15,"January 31, 2026","Waikiki, Honolulu, HI",IMG_022155.jpg,
16,"February 1, 2026","Diamond Head, Honolulu, HI",IMG_022026.jpg,
17,"February 2, 2026","North Shore — Haleʻiwa, HI",IMG_022081.jpg,
18,"February 2, 2026","Waimea Valley, North Shore, HI",IMG_022106.jpg,
19,"February 3, 2026","Makapuʻu Point Lighthouse Trail, HI",IMG_022394.jpg,
20,"February 3, 2026","Ala Moana, Honolulu, HI",IMG_022154.jpg,
21,"February 4, 2026","Manoa, Honolulu, HI",IMG_022366.jpg,
22,"February 4, 2026","Manoa, Honolulu, HI",IMG_022165.jpg,
23,"February 4, 2026","Manoa, Honolulu, HI",IMG_022179.jpg,
24,"February 4, 2026","Waikiki, Honolulu, HI",IMG_022197.jpg,
25,"February 4, 2026","Ala Moana, Honolulu, HI",IMG_022207.jpg,
26,"February 5, 2026","Kāneʻohe, HI",IMG_022237.jpg,
27,"February 5, 2026","Kāneʻohe, HI",IMG_022244.jpg,
28,"February 5, 2026","Kāneʻohe, HI",IMG_022259.jpg,
29,"February 5, 2026","Kāneʻohe, HI",IMG_022274.jpg,
30,"February 6, 2026","Waimanalo, HI",IMG_022422.jpg,
31,"February 6, 2026","Waimanalo, HI",IMG_022299.jpg,
32,"February 6, 2026","Waimanalo, HI",IMG_022323.jpg,
33,"February 6, 2026","Waikiki, Honolulu, HI",IMG_022357.jpg,
34,"February 6, 2026","Waikiki, Honolulu, HI",IMG_022473.jpg,
35,"February 7, 2026","Kakaʻako, Honolulu, HI",IMG_022490.jpg,
36,"February 14, 2026","Atlanta, GA",IMG_022519.jpg,
37,"February 16, 2026","Franklin, NC",IMG_022532.jpg,
38,"February 16, 2026","Gatlinburg / Smoky Mtns, TN",IMG_022536.jpg,
39,"February 16, 2026","Gatlinburg / Smoky Mtns, TN",IMG_022546.jpg,
40,"February 17, 2026","Atlanta, GA",IMG_022547.jpg,
41,"February 27, 2026","Atlanta, GA",IMG_022611.jpg,
42,"March 7, 2026","Atlanta, GA",IMG_022646.jpg,
43,"March 7, 2026","Atlanta, GA",IMG_022661.jpg,
44,"March 26, 2026","Atlanta, GA",IMG_022694.jpg,
45,"April 25, 2026","Atlanta, GA",IMG_022805.jpg,
46,"April 25, 2026","Atlanta, GA",IMG_022806.jpg,
47,"May 1, 2026","701 Highland Ave, Atlanta, GA",IMG_022804_thumbnail.JPG,
48,"May 2, 2026","Melt N Dip, Johns Creek, GA",IMG_022813_thumbnail.JPG,
49,"May 28, 2026","Atlanta, GA",IMG_023002_thumbnail.JPG,
50,"June 13, 2026","Atlanta, GA",IMG_023096.jpg,
51,"June 14, 2026","Feldwood Farms (U-Pick Blueberries), College Park, GA",IMG_023100.jpg,
52,"June 14, 2026","Osho Sushi, Chamblee, GA",IMG_023101_thumbnail.JPG,
